"user_id","age","male","friend_cnt","avg_friend_age","avg_friend_male","friend_country_cnt","subscriber_friend_cnt","songsListened","lovedTracks","posts","playlists","shouts","delta_friend_cnt","delta_avg_friend_age","delta_avg_friend_male","delta_friend_country_cnt","delta_subscriber_friend_cnt","delta_songsListened","delta_lovedTracks","delta_posts","delta_playlists","delta_shouts","tenure","good_country","delta_good_country"
178,20,1,19,19.21428571,0.733333333,5,0,25728,40,6,1,12,0,0.142857143,0,0,0,1213,0,0,0,0,53,0,0
241,24,1,4,26,0.5,2,0,15066,0,1,1,7,0,0,0,0,0,35,0,0,0,0,60,1,0
306,18,0,3,18.5,0.666666667,1,0,14036,1,0,1,10,0,0,0,0,0,0,0,0,0,0,41,1,0
346,23,1,9,22.44444444,0.444444444,2,0,44342,132,0,0,21,0,0.555555556,0,0,0,28,5,0,0,0,61,1,0
415,41,1,17,33.75,0.666666667,3,0,49303,178,2,2,26,0,0.125,0,0,0,717,1,0,0,0,86,1,0
424,27,1,46,22.17073171,0.4,6,2,5144,10,15,1,126,0,0.243902439,0,-1,0,2,0,0,0,0,60,0,0
425,21,1,71,22.03571429,0.64516129,21,2,68901,37,41,1,292,5,0.153361345,-0.044493882,5,1,2693,0,0,0,0,70,0,0
490,24,1,33,22.35483871,0.419354839,7,1,162190,65,29,0,84,1,0.388172043,-0.013978495,0,0,7229,0,0,0,0,63,1,0
522,19,1,4,19.66666667,0,2,0,14253,176,1,0,9,0,0.666666667,0,0,0,48,2,0,0,0,59,1,0
713,22,1,151,20.7706422,0.669291339,13,3,115956,831,4,1,36,7,0.280257587,-0.014041995,1,1,5697,71,0,0,6,85,1,0
720,29,1,3,32.33333333,1,1,0,11869,2,4,1,3,0,0,0,0,0,104,0,0,0,0,63,0,0
807,22,1,5,20.66666667,0.5,1,0,926,17,0,0,1,2,0.166666667,0.166666667,0,0,414,0,0,0,0,30,0,0
817,24,1,24,21.76190476,0.652173913,1,0,22540,115,0,1,35,-2,0.283643892,0.052173913,0,0,102,0,0,0,0,60,0,0
847,28,1,7,25.66666667,1,3,0,12433,394,0,0,2,-1,0.166666667,0,0,0,1824,5,0,0,0,31,1,0
998,32,0,40,32.6,0.696969697,7,4,634,107,0,1,3,0,0.32,0,0,0,0,0,0,0,0,61,0,0
1055,22,0,4,21.75,0.75,2,0,579,2,0,1,6,0,0,0,0,0,0,0,0,0,0,49,0,0
1067,20,0,69,21.41509434,0.369230769,12,5,5022,679,1,0,116,13,-0.380360206,0.023076923,0,1,2058,119,0,0,31,13,0,0
1069,33,1,11,27,0,8,0,6,40,0,0,1,0,0.181818182,0,0,0,0,0,0,0,0,64,1,0
1082,18,1,26,21.14285714,0.6,6,0,33580,261,0,0,59,7,-0.357142857,0.12631579,2,0,8011,39,0,0,-3,25,0,0
1094,23,1,28,18.95238095,0.84,3,0,9803,8,0,1,25,0,0.285714286,0,0,-1,0,0,0,0,0,52,0,0
1198,29,0,52,29.26666667,0.581395349,8,2,6332,180,0,1,34,-1,0.066666667,-0.009513742,0,1,0,0,0,0,0,72,0,0
1336,34,0,9,37,0.875,5,1,13439,34,0,0,6,0,0.142857143,0,0,1,74,0,0,0,0,70,0,0
1341,20,0,61,20.85106383,0.690909091,7,1,46315,108,1,1,101,1,0.307585569,0.005723906,0,0,1717,0,0,0,0,50,0,0
1444,19,0,2,22,0,1,0,13180,2,13,1,18,0,0,0,0,0,0,0,0,0,0,61,0,0
1475,19,0,13,20.125,0.416666667,8,0,88,0,0,1,11,0,0.375,0,0,0,0,0,0,0,0,61,0,0
1599,27,0,71,25.16981132,0.75,16,1,16633,59,0,1,41,3,0.246734398,-0.024193548,1,1,241,3,0,0,0,54,0,0
1679,25,0,29,27.95652174,0.875,6,0,31243,46,13,1,71,0,0.229249012,0,0,0,0,0,0,0,0,75,0,0
1695,25,1,6,23.33333333,0.666666667,2,0,12785,0,17,1,31,0,0,0,0,0,0,0,0,0,0,65,1,0
1771,24,1,4,24.33333333,1,1,0,39590,26,0,1,4,0,0.666666667,0,0,0,739,0,0,0,0,61,1,0
1839,23,1,2,25,1,1,0,1894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0
1948,24,0,8,26.2,0.6,3,0,14400,46,0,1,7,0,0.6,0,0,0,0,0,0,0,0,59,1,0
1951,28,1,8,25.6,1,1,0,2129,0,1,1,2,0,0.2,0,0,0,0,0,0,0,0,47,0,0
1962,21,1,8,19.28571429,0.857142857,2,0,56167,13,5,1,0,0,0.285714286,0,0,0,265,0,0,0,0,56,1,0
1973,28,1,5,24.5,0.333333333,1,0,41071,49,1,0,10,-1,0,-0.166666667,0,0,255,0,0,0,0,58,1,0
2007,19,0,2,19,0.5,1,0,52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,60,1,0
2016,24,1,38,21.25,0.466666667,13,1,49889,66,0,0,15,-1,0.284482759,0.029166667,0,1,2196,0,0,0,0,52,0,0
2070,27,1,6,25.33333333,0.4,1,1,13059,5,0,0,67,0,0.333333333,0,0,0,-442,0,0,0,1,62,0,0
2144,22,1,10,21.66666667,0.714285714,4,0,30908,405,0,0,1,0,0.166666667,0,0,0,46,2,0,0,0,63,1,0
2146,25,1,8,22.75,0.625,2,0,5428,0,81,1,76,0,0.125,0,0,0,0,0,0,0,0,62,0,0
2185,27,1,4,22.25,0.75,2,0,502,1,0,0,3,0,0.25,0,0,0,0,0,0,0,0,85,0,0
2319,23,1,7,21,0.333333333,3,0,28755,0,0,0,8,0,0.166666667,0,0,0,2540,0,0,0,1,75,1,0
2409,29,1,28,27.83333333,0.454545455,2,0,25984,3,0,2,2,2,0.333333333,0,0,0,1482,0,0,0,0,94,1,0
2428,27,1,3,27,0.5,2,0,7368,69,4,1,2,0,0,0,0,0,0,0,0,0,0,74,1,0
2487,21,1,2,20.5,1,1,0,662,8,0,1,0,0,0,0,0,0,0,0,0,0,0,65,0,0
2496,29,1,6,33.66666667,1,2,0,14130,1,1,1,3,0,0,0,0,0,0,0,0,0,0,66,1,0
2548,17,0,3,19.33333333,0.666666667,2,0,1522,33,2,0,2,0,0.333333333,0,0,0,0,0,0,0,0,19,1,0
2581,20,1,7,23.83333333,0.5,3,0,74726,40,0,0,2,0,0.333333333,0,0,0,106,0,0,0,0,71,1,0
2680,25,1,27,22.18181818,0.434782609,8,0,31400,219,7,0,48,0,0.227272727,0,0,0,0,0,0,0,4,78,1,0
2808,34,1,11,30,0.909090909,7,0,26091,19,0,1,3,0,0.142857143,0,1,0,1227,0,0,0,0,70,1,0
2934,24,1,5,25.33333333,0.4,4,0,38571,6,0,0,4,1,0,0.15,1,0,1946,5,0,0,0,84,0,0
2942,18,0,2,19.5,0.5,1,0,0,40,0,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0
2945,25,1,2,24,0,1,0,26337,7,0,1,8,0,0.5,0,0,0,0,0,0,0,0,51,1,0
2963,20,0,9,20.625,0.777777778,1,0,1010,7,0,0,3,0,0.25,0,0,0,0,0,0,0,0,22,0,0
2970,24,1,1,27,1,1,1,1046,126,0,1,0,0,0,0,0,0,112,2,0,0,0,65,1,0
3176,24,0,6,22.6,1,1,2,40112,272,11,1,51,-1,0.1,0.166666667,0,0,186,1,0,0,0,67,0,0
3291,15,0,3,16,0.333333333,1,0,165,0,0,0,26,0,0,0,0,-1,0,0,0,0,0,14,1,0
3349,18,0,1,19,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,50,0,0
3405,25,0,1,26,0,1,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0
3459,31,1,44,32.96875,0.641025641,9,2,33570,28,0,1,3,1,0.61391129,-0.016869096,0,-2,177,0,0,0,0,62,0,0
3670,22,1,3,25.66666667,0.333333333,3,0,2600,35,0,1,2,-1,0.666666667,0,0,0,0,0,0,0,0,63,0,0
3721,22,0,10,22.33333333,0.125,2,0,2422,11,54,1,35,0,0.166666667,0,0,0,0,0,0,0,0,54,0,0
3726,34,1,2,27,0,1,1,2067,0,0,0,4,0,0,0,0,0,0,0,0,0,0,42,0,0
3735,32,1,1,28,1,1,0,4269,1,0,0,2,0,0,0,0,0,0,0,0,0,0,89,1,0
3745,26,1,1,30,0,1,0,333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,1,0
3904,20,1,9,22,0.666666667,3,0,23486,22,7,0,42,1,-0.142857143,0.041666667,0,0,2211,0,0,0,0,66,0,0
3930,27,1,3,24,1,1,0,38183,0,0,1,6,0,0.5,0,0,0,521,0,0,0,0,90,1,0
3933,20,0,6,21.4,0.833333333,1,0,49266,37,1,1,16,0,0.4,0,0,0,0,0,0,0,0,69,1,0
3963,22,0,2,23.5,1,1,0,6180,5,0,0,8,0,0.5,0,0,0,0,0,0,0,0,62,0,0
4099,36,1,3,26.5,1,1,0,1604,89,0,0,1,0,0.5,0,0,0,1,0,0,0,0,63,1,0
4123,30,1,18,30.88888889,0.866666667,1,0,22160,65,0,0,6,0,0.444444444,0,0,0,4,0,0,0,0,81,1,0
4209,25,1,3,25.5,0.333333333,1,0,480,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,53,0,0
4242,27,1,26,25.83333333,0.666666667,5,0,15885,0,1,1,14,-1,0.353333333,0,0,0,0,0,0,0,0,71,1,0
4261,24,0,11,24.14285714,0.727272727,6,1,38351,524,2,1,10,0,0.285714286,0,0,0,203,-1,0,0,0,74,1,0
4267,26,1,6,27.2,1,2,0,14,0,0,1,6,0,0.6,0,0,0,0,0,0,0,0,50,0,0
4393,23,0,87,24.06153846,0.581081081,5,4,77395,114,7,0,149,10,0.440848806,0.020475021,1,3,4686,18,0,0,-1,89,1,0
4547,22,1,13,22.18181818,0.636363636,3,0,7716,65,0,0,4,0,0.272727273,0,0,0,8,0,0,0,0,24,0,0
4614,41,1,37,28.23076923,0.941176471,10,1,66746,0,12,1,35,-1,0.86039886,-0.001680672,0,0,2433,0,0,0,2,90,0,0
4692,21,1,9,25.14285714,0.5,2,0,849,22,0,0,6,0,0.142857143,0,0,0,0,0,0,0,0,36,0,0
4739,30,1,26,29.61538462,0.684210526,4,1,52460,202,12,1,8,0,-0.051282051,-0.021671827,0,-2,3769,5,0,0,0,73,1,0
4781,23,1,18,22.4,0.615384615,3,0,33342,48,7,1,35,0,0.1,0,0,0,1064,4,0,0,0,59,1,0
4851,23,1,30,21.41666667,0.541666667,9,0,25283,16,0,0,29,1,0.286231884,-0.023550725,1,-1,836,2,0,0,0,76,1,0
4876,23,1,27,20.38095238,0.807692308,9,0,49326,851,0,0,8,1,0.680952381,0.007692308,1,-1,2881,26,0,0,3,16,1,0
4892,23,1,8,22.33333333,0.875,1,0,47424,0,0,0,13,1,0.166666667,0.017857143,0,0,2827,0,0,0,0,63,0,0
4893,21,0,50,24.25925926,0.785714286,12,0,57668,247,0,0,27,3,0.220797721,0.016483517,1,-1,7395,17,0,0,2,40,0,0
4976,21,1,5,21.4,0.4,2,1,22410,46,0,1,0,0,0.2,0,0,0,0,0,0,0,0,56,0,0
